"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std","w3income_1k"
"0429020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,35,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,55.318,0.495346009419343,150.0005
"0429021C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,44,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,NA,"$75,001 TO $100,000",87500.5,0,0,63.796,1.36809970670288,87.5005
"0429022C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,39,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,63.43,61.56,"$50,001 TO $75,000",62500.5,0,0,58.577,0.830838377837255,62.5005
"0429024C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,40,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,35.78,"$100,001 TO $200,000",150000.5,0,0,56.82,0.649966916864481,150.0005
"0430001C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.928,0.455198104024134,NA
"0430002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,38,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,48.69,"$75,001 TO $100,000",87500.5,0,0,60.788,1.05844611842394,87.5005
"0430003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,54,53,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,NA,62.87,"$50,001 TO $75,000",62500.5,0,0,56.238,0.59005388881317,62.5005
"0430004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,34,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,NA,"$50,001 TO $75,000",62500.5,0,0,50.576,0.00718865715247093,62.5005
"0430005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,57.83,34.95,"$40,001 TO $50,000",45000.5,0,NA,44.453,-0.623133457552308,45.0005
"0430006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,34,"SOME COLLEGE","SOME COLLEGE",0,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,43.652,-0.705591078633237,62.5005
"0430007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,51,"SOME COLLEGE","9TH - 12TH GRADE",0,1,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,46.512,-0.411173105735039,87.5005
"0430008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,38,"SOME COLLEGE","SOME COLLEGE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,49.21,-0.133431955077927,87.5005
"0430009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,NA,"NOT APPLICABLE","VOC/TECH PROGRAM",NA,1,38.18,NA,"$20,001 TO $25,000",22500.5,0,0,48.386,-0.218257273143702,22.5005
"0430010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,32,35,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,53.5,53.5,"$50,001 TO $75,000",62500.5,0,0,46.298,-0.43320298202882,62.5005
"0430011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,38,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,39.18,53.5,"$75,001 TO $100,000",87500.5,0,0,54.06,0.365843278683003,87.5005
"0430014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,45,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,34.95,"$50,001 TO $75,000",62500.5,0,0,47.8,-0.278582074583683,62.5005
"0430016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,33,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,34.95,"$50,001 TO $75,000",62500.5,0,0,58.18,0.789969869011876,62.5005
"0430017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,45,"SOME COLLEGE","SOME COLLEGE",0,0,72.1,37.67,"$50,001 TO $75,000",62500.5,0,0,61.787,1.16128652224397,62.5005
"0430018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,41,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,34.95,"$50,001 TO $75,000",62500.5,0,0,50.476,-0.00310567756424943,62.5005
"0430019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,30,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,48.661,-0.189947852672721,87.5005
"0430020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,31,NA,"NOT APPLICABLE","BACHELOR'S DEGREE",NA,0,38.18,NA,"$35,001 TO $40,000",37500.5,0,0,64.635,1.45446917497617,37.5005
"0430021C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,32,33,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,62.87,"$75,001 TO $100,000",87500.5,0,0,62.874,1.27318594061472,87.5005
"0430022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,33.42,"$75,001 TO $100,000",87500.5,0,0,42.759,-0.797519487653548,87.5005
"0430023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,33.42,NA,"$15,001 TO $20,000",17500.5,1,0,52.531,0.208442900864351,17.5005
"0430024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,53.5,NA,"$25,001 TO $30,000",27500.5,0,0,49.185,-0.136005538757107,27.5005
"0430025C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,47,"VOC/TECH PROGRAM","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,NA,59,"$50,001 TO $75,000",62500.5,0,0,52.948,0.251370276633074,62.5005
"0430026C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,38,"SOME COLLEGE","SOME COLLEGE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,48.499,-0.206624674913808,87.5005
"0431002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,60,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,63.43,63.43,"$50,001 TO $75,000",62500.5,0,0,50.977,0.0484689393665186,62.5005
"0431004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,NA,"$35,001 TO $40,000",37500.5,0,1,46.175,-0.445865013730386,37.5005
"0431005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,59.697,0.946134926664522,62.5005
"0431006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,33.42,"$40,001 TO $50,000",45000.5,0,0,52.012,0.155015303684573,45.0005
"0431007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,32,"9TH - 12TH GRADE","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$35,001 TO $40,000",37500.5,0,0,37.738,-1.31439803378007,37.5005
"0431009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$35,001 TO $40,000",37500.5,0,0,31.755,-1.93030807988144,37.5005
"0431010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,35,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,34.95,35.78,"$30,001 TO $35,000",32500.5,0,0,48.77,-0.178727027831496,32.5005
"0431012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,43,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,53.5,"$75,001 TO $100,000",87500.5,0,0,46.64,-0.397996357297637,87.5005
"0431013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,36,"SOME COLLEGE","SOME COLLEGE",0,0,63.43,34.95,"$50,001 TO $75,000",62500.5,0,0,54.083,0.368210975667849,62.5005
"0431014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,47,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,33.42,53.5,"$100,001 TO $200,000",150000.5,0,0,56.981,0.666540795758401,150.0005
"0431015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,37,"SOME COLLEGE","SOME COLLEGE",0,0,NA,39.18,"$30,001 TO $35,000",32500.5,0,0,51.548,0.107249590598992,32.5005
"0431016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,35.78,39.2,"$35,001 TO $40,000",37500.5,0,0,64.491,1.43964533298409,37.5005
"0431017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,35.63,35.63,"$5,001 TO $10,000",7500.5,1,0,61.155,1.0962263268343,7.5005
"0431018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,42,"9TH - 12TH GRADE","SOME COLLEGE",1,0,38.18,39.18,"$50,001 TO $75,000",62500.5,0,0,63.262,1.3131279593156,62.5005
"0431020C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,33,33,"SOME COLLEGE","SOME COLLEGE",0,0,NA,33.42,"$40,001 TO $50,000",45000.5,0,0,50.981,0.0488807127551879,45.0005
"0431021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,NA,NA,"$10,001 TO $15,000",12500.5,1,0,50.372,-0.0138117856696384,12.5005
"0431023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,33,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,63.43,NA,"$35,001 TO $40,000",37500.5,0,0,66.122,1.6075459322138,37.5005
"0431025C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,60,"MASTER'S DEGREE (MA, MS)","MASTER'S DEGREE (MA, MS)",0,0,63.43,63.43,"$50,001 TO $75,000",62500.5,0,0,56.405,0.607245427790092,62.5005
"0432001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,35.63,"$40,001 TO $50,000",45000.5,0,0,51.745,0.12752942999093,45.0005
"0432002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,38,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,34.95,38.18,"$25,001 TO $30,000",27500.5,0,0,68.359,1.83783019982683,27.5005
"0432003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,33,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,38.18,34.95,"$40,001 TO $50,000",45000.5,0,0,64.314,1.42142436053549,45.0005
"0432004C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,31,31,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,53.5,35.78,"$25,001 TO $30,000",27500.5,0,0,59.203,0.895280913163924,27.5005
"0432005C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,40,44,"SOME COLLEGE","SOME COLLEGE",0,0,35.92,53.5,"$50,001 TO $75,000",62500.5,0,0,56.011,0.566685749006215,62.5005
"0432006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,41,"MASTER'S DEGREE (MA, MS)","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,61.631,1.14522736008589,87.5005
"0432007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,45,46,"SOME COLLEGE","SOME COLLEGE",0,0,NA,39.18,"$50,001 TO $75,000",62500.5,0,0,60.786,1.05824023172961,62.5005
"0432011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,34,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,33.42,"$75,001 TO $100,000",87500.5,0,0,54.119,0.371916936165868,87.5005
"0432013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,40,"BACHELOR'S DEGREE","MASTER'S DEGREE (MA, MS)",0,0,63.43,53.5,"$75,001 TO $100,000",87500.5,0,0,61.491,1.13081529148248,87.5005
"0432014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,35.78,"$35,001 TO $40,000",37500.5,0,0,49.189,-0.135593765368439,37.5005
"0432015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,46,"SOME COLLEGE","SOME COLLEGE",0,0,63.43,34.95,"$40,001 TO $50,000",45000.5,0,0,59.134,0.888177822209387,45.0005
"0432016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,48.69,39.18,"$40,001 TO $50,000",45000.5,0,0,64.074,1.39671795721537,45.0005
"0432018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.2,"$40,001 TO $50,000",45000.5,0,0,59.065,0.88107473125485,45.0005
"0432019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,37,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,38.18,64.89,"$50,001 TO $75,000",62500.5,0,0,72.233,2.23663272675257,62.5005
"0432020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,49,65,"HIGH SCHOOL DIPLOMA/EQUIVALENT","9TH - 12TH GRADE",1,1,NA,34.95,"$5,001 TO $10,000",7500.5,1,1,53.941,0.353593020370106,7.5005
"0432021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,"SOME COLLEGE","SOME COLLEGE",0,0,57.83,61.56,"$50,001 TO $75,000",62500.5,0,0,41.145,-0.963670049981412,62.5005
"0432022C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,35.78,39.18,"$75,001 TO $100,000",87500.5,0,0,52.85,0.241281828610689,87.5005
"0432023C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,43,50,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,55.464,0.510375738105755,87.5005
"0433001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,48,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,38.18,"$100,001 TO $200,000",150000.5,0,0,59.138,0.888589595598056,150.0005
"0433004C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.361,0.396829226180331,NA
"0433005C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.766,-0.796798884223378,NA
"0433006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,38.18,"$40,001 TO $50,000",45000.5,0,0,51.592,0.111779097874348,45.0005
"0433007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,40,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,38.18,39.18,"$75,001 TO $100,000",87500.5,0,0,44.597,-0.608309615560231,87.5005
"0433008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,41,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,35.78,48.69,"$100,001 TO $200,000",150000.5,0,0,55.057,0.468477795808704,150.0005
"0433009C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,27,27,"SOME COLLEGE","SOME COLLEGE",0,0,61.56,48.69,"$50,001 TO $75,000",62500.5,0,0,57.035,0.672099736505429,62.5005
"0433011C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,41,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,NA,"$75,001 TO $100,000",87500.5,0,0,59.311,0.906398794657982,87.5005
"0433012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,30,34,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,39.18,"$50,001 TO $75,000",62500.5,0,0,67.983,1.79912350129196,62.5005
"0433013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,38,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,53.5,NA,"$100,001 TO $200,000",150000.5,0,0,59.937,0.97084132998465,150.0005
"0433017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,44,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,53.5,35.63,"$30,001 TO $35,000",32500.5,0,0,39.186,-1.16533606708196,32.5005
"0434001C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,35,37,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,33.42,"$100,001 TO $200,000",150000.5,0,0,62.808,1.26639167970169,150.0005
"0434002C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.509,0.617951535895481,NA
"0434003C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,28,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$15,001 TO $20,000",17500.5,0,0,39.668,-1.11571737374737,17.5005
"0434004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,41,50,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","SOME COLLEGE",0,0,38.18,34.95,"$50,001 TO $75,000",62500.5,0,0,52.804,0.236546434640998,62.5005
"0434006C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,45,39,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,29.6,39.18,"$40,001 TO $50,000",45000.5,0,0,56.445,0.61136316167678,45.0005
"0434007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,52,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,38.775,-1.20764578276768,62.5005
"0434008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,38,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,34.95,63.43,"$40,001 TO $50,000",45000.5,0,0,61.577,1.13966841933886,45.0005
"0434009C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,31,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,57.83,35.92,"$35,001 TO $40,000",37500.5,0,NA,55.283,0.491742992268492,37.5005
"0434010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,27,"8TH GRADE OR BELOW","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,35.78,33.42,"$35,001 TO $40,000",37500.5,0,0,52.325,0.187236571347908,37.5005
"0434015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,45,"SOME COLLEGE","SOME COLLEGE",0,0,NA,48.69,"$50,001 TO $75,000",62500.5,0,0,48.97,-0.158138358398056,62.5005
"0434018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,52,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,62.87,"$50,001 TO $75,000",62500.5,0,0,65.271,1.51994114377451,62.5005
"0434020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,27,30,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,33.42,"$30,001 TO $35,000",32500.5,0,0,49.233,-0.131064258093082,32.5005
"0434021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,29,32,"VOC/TECH PROGRAM","SOME COLLEGE",1,0,35.78,39.18,"$50,001 TO $75,000",62500.5,0,0,63.085,1.294906986867,62.5005
"0434022C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,NA,31,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,35.78,"$40,001 TO $50,000",45000.5,0,0,57.807,0.75157200051851,45.0005
"0435001C",1,"ASIAN",0,0,0,1,1,36,40,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,48.69,"$35,001 TO $40,000",37500.5,0,0,56.288,0.595201056171529,37.5005
"0435004C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,54,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,29.6,"$50,001 TO $75,000",62500.5,0,0,50.197,-0.0318268714238985,62.5005
"0435005C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,39,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,29.6,"$50,001 TO $75,000",62500.5,0,0,49.546,-0.0988429904297474,62.5005
"0435006C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,36,45,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,33.42,34.95,"$20,001 TO $25,000",22500.5,0,NA,44.489,-0.619427497054289,22.5005
"0435009C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,NA,55,"SOME COLLEGE","NOT APPLICABLE",0,NA,NA,35.92,"$25,001 TO $30,000",27500.5,0,0,33.32,-1.76920174156477,27.5005
"0435010C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,44,"SOME COLLEGE","SOME COLLEGE",0,0,34.95,53.5,"$75,001 TO $100,000",87500.5,0,0,65.059,1.49811715417506,87.5005
"0435011C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,35,41,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","SOME COLLEGE",0,0,38.18,34.95,"$50,001 TO $75,000",62500.5,0,0,41.502,-0.926919275042721,62.5005
"0435013C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,41,"DOCTORATE OR PROFESSIONAL DEGREE","MASTER'S DEGREE (MA, MS)",0,0,NA,77.5,"$100,001 TO $200,000",150000.5,0,0,60.909,1.07090226343117,150.0005
"0435014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,53.958,0.355343057271948,87.5005
"0435015C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,36,38,"SOME COLLEGE","SOME COLLEGE",0,0,57.83,34.95,"$75,001 TO $100,000",87500.5,0,0,60.267,1.00481263454983,87.5005
"0435016C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,37,37,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,61.56,53.5,"$100,001 TO $200,000",150000.5,0,0,56.879,0.656040574347346,150.0005
"0435018C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.347,1.11599144949041,NA
"0435019C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,53.5,"$75,001 TO $100,000",87500.5,0,0,48.953,-0.159888395299898,87.5005
"0435020C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,46,41,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,61.56,39.18,"$50,001 TO $75,000",62500.5,0,0,36.572,-1.43442997657703,62.5005
"0435021C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,42,41,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,57.83,39.18,"$75,001 TO $100,000",87500.5,0,0,37.701,-1.31820693762526,87.5005
"0435022C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,33,35,"SOME COLLEGE","SOME COLLEGE",0,0,61.56,33.42,"$35,001 TO $40,000",37500.5,0,0,46.999,-0.361039695664611,37.5005
"0435023C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,43,45,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,38.18,64.89,"$75,001 TO $100,000",87500.5,0,0,46.738,-0.387907909275251,87.5005
"0435024C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,40,45,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,53.5,53.5,"$50,001 TO $75,000",62500.5,0,0,52.37,0.191869021970431,62.5005
"0435026C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,41,42,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,NA,53.5,"$75,001 TO $100,000",87500.5,0,0,51.332,0.0850138276108758,87.5005
"0436001C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,63.43,53.5,"$75,001 TO $100,000",87500.5,0,0,61.725,1.15490403471961,87.5005
"0436002C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,43,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,61.56,39.18,"$40,001 TO $50,000",45000.5,0,0,50.067,-0.045209506555635,45.0005
"0436003C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,34,44,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,35.78,39.18,"$50,001 TO $75,000",62500.5,0,0,46.475,-0.414982009580225,62.5005
"0436004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,45,"SOME COLLEGE","SOME COLLEGE",0,0,53.5,35.78,"$50,001 TO $75,000",62500.5,0,0,52.314,0.186104194529068,62.5005
"0436005C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,41,40,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,53.5,35.78,"$50,001 TO $75,000",62500.5,0,0,49.763,-0.0765042840944647,62.5005
"0436006C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,42,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,NA,53.5,"$50,001 TO $75,000",62500.5,0,0,54.949,0.457359914314646,62.5005
"0436007C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,39,39,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,39.18,"$25,001 TO $30,000",27500.5,0,0,49.323,-0.121799356848033,27.5005
"0436008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,57,"BACHELOR'S DEGREE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,38.18,53.5,"$50,001 TO $75,000",62500.5,0,0,60.302,1.00841565170068,62.5005
